geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062637	Gahondo	Gahondo		-2.4236	29.6768	H	STMI	RW		15				0		1637	Africa/Kigali	2009-11-28
7062638	Nyakogezi	Nyakogezi		-2.4206	29.6744	H	STMI	RW		15				0		1593	Africa/Kigali	2009-11-28
7062639	Kiruhura	Kiruhura		-2.4228	29.6757	H	STMI	RW		15				0		1616	Africa/Kigali	2009-11-28
7062640	Ngugu	Ngugu		-2.4263	29.6785	H	STMI	RW		15				0		1604	Africa/Kigali	2009-11-28
7062641	Agatare	Agatare		-2.4293	29.6777	H	STMI	RW		15				0		1640	Africa/Kigali	2009-11-28
7062642	Kagina	Kagina		-2.4293	29.6778	H	STMI	RW		15				0		1640	Africa/Kigali	2009-11-28
7062643	Kaoenda	Kaoenda		-2.4345	29.6634	H	STMI	RW		15				0		1646	Africa/Kigali	2009-11-28
7062644	Gisuma	Gisuma		-2.4345	29.6635	H	STMI	RW		15				0		1646	Africa/Kigali	2009-11-28
7062645	Bwerwa	Bwerwa		-2.4319	29.6573	H	STMI	RW		15				0		1617	Africa/Kigali	2009-11-28
7062646	Kibabo	Kibabo		-2.4332	29.6565	H	STMI	RW		15				0		1633	Africa/Kigali	2009-11-28
7062647	Gakoni	Gakoni		-2.4374	29.6558	H	STMI	RW		15				0		1621	Africa/Kigali	2009-11-28
7062648	Nyagatoki	Nyagatoki		-2.4441	29.6567	H	STMI	RW		15				0		1613	Africa/Kigali	2009-11-28
7062649	Nyamuko	Nyamuko		-2.4482	29.6573	H	STMI	RW		15				0		1611	Africa/Kigali	2009-11-28
7062650	Gaseke	Gaseke		-2.449	29.6498	H	STMI	RW		15				0		1645	Africa/Kigali	2009-11-28
7062651	Kabumba	Kabumba		-2.4537	29.6483	H	STMI	RW		15				0		1657	Africa/Kigali	2009-11-28
7062652	Kavomo	Kavomo		-2.4408	29.6415	H	STMI	RW		15				0		1614	Africa/Kigali	2009-11-28
7062653	Rukaragata	Rukaragata		-2.4423	29.6552	H	STM	RW		15				0		1617	Africa/Kigali	2009-11-28
7062654	Muhondo	Muhondo		-2.429	29.6499	H	STMI	RW		15				0		1634	Africa/Kigali	2009-11-28
7062655	Nyagisenyi	Nyagisenyi		-2.4304	29.6466	H	STMI	RW		15				0		1646	Africa/Kigali	2009-11-28
7062656	Gahisha	Gahisha		-2.4136	29.6748	H	STMI	RW		15				0		1577	Africa/Kigali	2009-11-28
7062657	Burohwa	Burohwa		-2.4103	29.6735	H	STMI	RW		15				0		1614	Africa/Kigali	2009-11-28
7062658	Ryeru	Ryeru		-2.4085	29.677	H	STM	RW		15				0		1565	Africa/Kigali	2009-11-28
7062659	Nyamagana	Nyamagana		-2.4113	29.681	H	STMI	RW		15				0		1625	Africa/Kigali	2009-11-28
7062660	Rusumo	Rusumo		-2.4112	29.6809	H	STMI	RW		15				0		1637	Africa/Kigali	2009-11-28
7062661	Makera	Makera		-2.4099	29.6978	H	STMI	RW		15				0		1554	Africa/Kigali	2009-11-28
7062662	Gatare	Gatare		-2.4235	29.716	H	STM	RW		15				0		1566	Africa/Kigali	2009-11-28
7062663	Ruzibaziba	Ruzibaziba		-2.4282	29.7184	H	STM	RW		15				0		1569	Africa/Kigali	2009-11-28
7062664	Kabilizi	Kabilizi		-2.4332	29.7188	H	STMI	RW		15				0		1572	Africa/Kigali	2009-11-28
7062665	Gasuma	Gasuma		-2.4386	29.7229	H	STM	RW		15				0		1574	Africa/Kigali	2009-11-28
7062666	Gahama	Gahama		-2.4661	29.7253	H	STMI	RW		15				0		1649	Africa/Kigali	2009-11-28
7062667	Gatare	Gatare		-2.4797	29.7263	H	STMI	RW		15				0		1619	Africa/Kigali	2009-11-28
7062668	Rwamuyinga	Rwamuyinga		-2.4804	29.6169	H	STMI	RW		15				0		1709	Africa/Kigali	2009-11-28
7062669	Mpagwe	Mpagwe		-2.4769	29.6154	H	STMI	RW		15				0		1694	Africa/Kigali	2009-11-28
7062670	Kaderege	Kaderege		-2.4733	29.612	H	STM	RW		15				0		1724	Africa/Kigali	2009-11-28
7062671	Buhoro	Buhoro		-2.477	29.6102	H	STMI	RW		15				0		1746	Africa/Kigali	2009-11-28
7062672	Nyamugali	Nyamugali		-2.4748	29.6114	H	STM	RW		15				0		1734	Africa/Kigali	2009-11-28
7062673	Mwaro	Mwaro		-2.4714	29.5996	H	STMI	RW		15				0		1741	Africa/Kigali	2009-11-28
7062674	Nkokwe	Nkokwe		-2.4712	29.5998	H	STMI	RW		15				0		1759	Africa/Kigali	2009-11-28
7062675	Rusaki	Rusaki		-2.4644	29.6026	H	STMI	RW		15				0		1739	Africa/Kigali	2009-11-28
7062676	Gisiza	Gisiza		-2.4642	29.6028	H	STMI	RW		15				0		1739	Africa/Kigali	2009-11-28
